ID задачи,Проект,Теги,Заголовок,Заявитель,Создана,Обновлена,Завершенная,Исполнитель,Тип,Вид бага,Серьёзность,Компонент,Описание,Голоса
U1-1617,Преображенский Артем,Звезда,на главной странице внизу сайта https://www.hotelbeta.ru/ не переводится значки яндекса на выбранный язык en и cn  при смене языка в селекторе,Артем Преображенский,2 Jul 2023 11:59,2 Jul 2023 12:43,,root,Bug,Usability,Normal,MySite,"1. зайти на сайт <https://www.hotelbeta.ru/>
2. поменять язык в селекторе на en или cn

**Результат**\: значки яндекса не перевелись на выбранный язык

![](image.png){width=70%}

**Ожидаемый результат:** весь сайт переводится на выбранный язык",0
U1-1615,Преображенский Артем,Звезда,на главной странице сайта https://www.hotelbeta.ru/ не работает иконка логотипа при смене языка на ru и ch,Артем Преображенский,2 Jul 2023 11:53,2 Jul 2023 12:42,,root,Bug,Functional,Major,MySite,"1. зайти на сайт <https://www.hotelbeta.ru/>
2. сменить язык в селекторе на en
3. перейти в любую категорию
4. нажать на значок логотипа

**Результат**\: значок некликабельный страница остается без изменений

![](Untitled.mp4)

**Ожидаемый результат**\: переходит на главную страницу",0
U1-1614,Преображенский Артем,Звезда,на главной странице внизу сайта https://www.hotelbeta.ru/ не настроены гиперссылки при нажатие на иконку яндекса,Артем Преображенский,2 Jul 2023 11:00,2 Jul 2023 12:41,,root,Bug,Usability,Major,MySite,"1. зайти на сайт <https://www.hotelbeta.ru/>
2. нажать на иконку яндекса

**Результат:** ничего не происходит остаемся на это же странице

![](image.png)

**Ожидаемый результат:** переходим в поисковик яндекс где подробно указано описание отеля и рейтинг",0
U1-1613,Преображенский Артем,Звезда,"в приложение в селекторе присутствует пустая строка, доступная для выбора при открытие ""range""",Артем Преображенский,29 Jun 2023 14:30,29 Jun 2023 16:56,,root,Bug,Functional,Normal,ListBoxer,"1. открыть приложение 
2. поставить случайные настройки ""Sort Order"" и ""Symbol""
3. зайти в ""Range"" выбрать категорию без имени

**Результат**\: в ""Range"" категория без названия выбирается 

![](image.png)

**Ожидаемый результат:** категория без имени отсутствует ",0
U1-1611,Преображенский Артем,Звезда,"в приложение последний созданный список переносится на строчку выше при сортировки списка по ""desending""",Артем Преображенский,29 Jun 2023 14:24,29 Jun 2023 16:53,,root,Bug,Functional,Blocker,ListBoxer,"1. открыть приложение 
2. зайти в ""Range"" выбрать ""0-100""
3. выбрать чекбокс ""Numeric""
4. создать списки ""1,2,3,4,5""
5. переключить ""Sort Order"" в ""Descending""

**Результат**\: последний список перескакивает на одно строчку выше 

![](image.png)

**Ожидаемый результат** : списки сортируются по убыванию 


",0
U1-1610,Преображенский Артем,Звезда,"в приложение при сохранение файла  первый список заменяется "" пропуском"" при повторном открытии",Артем Преображенский,29 Jun 2023 12:59,29 Jun 2023 16:53,,root,Bug,Functional,Blocker,ListBoxer,"1. открыть приложение 
2. создать списки под названием 1,2,3,4,5
3. сохранить файл 
4. перезапустить приложение
5. открыть ранее сохраненный файл

**Результат:** открывается сохраненный файл вместо первого списка появляется пустое место

![](image.png)

**Ожидаемый результат:** открывается файл со всеми ранее созданными списками 1,2,3,4,5",0
U1-1609,Преображенский Артем,Звезда,"в приложение опечатка в граничном значение ""300-9999"" при открытии ""range""",Артем Преображенский,26 Jun 2023 16:35,26 Jun 2023 19:10,,root,Bug,UI,Normal,ListBoxer,"1. открыть приложение
2. выбрать режим ""numeric"" в категории ""symbol""
3. открыть ""range""

   

**результат**\: опечатка в  границе ""range"" 

![](image.png)

**ожидаемый результат**\: граничные значение не пересекаются с предыдущими",0
U1-1607,Преображенский Артем,Звезда,"в приложение  неактивны функционал ""cut"", ""copy"",""paste"" при выборе  вкладки ""edit""",Артем Преображенский,26 Jun 2023 16:28,26 Jun 2023 19:04,,root,Bug,Functional,Critical,ListBoxer,"1. зайти в приложение
2. создать несколько случайных списков 
3. зайти во вкладку ""edit"" попробовать функции ""cut"", ""copy"",""paste"" на созданных списках

**результат**\: функции ""cut"", ""copy"",""paste"" некликабельны 

![](image.png)

**ожидаемый результат**\: на созданные списки сработали функции ""cut"", ""copy"",""paste""


",0
U1-1605,Преображенский Артем,Звезда,"в приложение нельзя удалить один созданный список при нажатии кнопки ""Clear List"" ",Артем Преображенский,26 Jun 2023 16:13,26 Jun 2023 16:56,,root,Bug,Usability,Critical,ListBoxer,"1. зайти в приложение 
2. выбрать  ""numeric"" в категории ""symbol""
3. в категории  ""range"" выбрать ""all""
4. создать несколько списков 
5. нажать на кнопку ""clear list"" и удалить любой один созданный список

**результат**\: очищаются все созданный списки 

![](image.png)

**ожидаемый результат**\: удаляется один выбранный  список 


",0
U1-1604,Преображенский Артем,Звезда,"в приложения ""Listboxer"" пропадают категории ""Range"" при  отключение ""Alphabetic"" и ""Numeric""  в категории ""Symbol""",Артем Преображенский,26 Jun 2023 15:51,26 Jun 2023 16:28,,root,Bug,Functional,Normal,ListBoxer,"1. зайти в приложение
2. отключить чекбоксы ""Alphabetic"" и ""Numeric""

**Результат**\: выдается пустой список в категории ""Range""

![](image.png)

**Ожидаемый результат**\: один из двух чексбоксов ""Alphabetic"" и ""Numeric"" нельзя отключить",0
